nazwa,wielkosc,c/z
Sp-ka 1,645.94,22.65
Sp-ka 26,2570.86,70.77
Sp-ka 2,207.63,13.52
Sp-ka 27,646.26,23.74
Sp-ka 3,1933.27,57.18
Sp-ka 28,2808.25,54.95
Sp-ka 4,45.77,7.61
Sp-ka 29,43.85,5.70
Sp-ka 5,2766.38,55.00
Sp-ka 30,201.19,13.69
Sp-ka 6,49.10,8.38
Sp-ka 31,2151.50,55.57
Sp-ka 7,179.22,12.76
Sp-ka 32,527.44,27.49
Sp-ka 8,2270.69,55.57
Sp-ka 33,599.29,26.02
Sp-ka 9,609.15,21.47
Sp-ka 34,574.15,20.02
Sp-ka 10,1944.45,68.75
Sp-ka 35,203.71,15.67
Sp-ka 11,47.55,6.50
Sp-ka 36,44.16,6.98
Sp-ka 12,46.37,6.48
Sp-ka 37,171.02,11.33
Sp-ka 13,47.51,5.42
Sp-ka 38,203.61,12.72
Sp-ka 14,2512.09,65.27
Sp-ka 39,2040.82,68.45
Sp-ka 15,51.44,7.15
Sp-ka 40,630.16,22.05
Sp-ka 16,41.06,6.41
Sp-ka 41,49.01,6.71
Sp-ka 17,596.33,21.59
Sp-ka 42,43.13,6.26
Sp-ka 18,177.20,15.02
Sp-ka 43,239.68,15.16
Sp-ka 19,677.47,23.80
Sp-ka 44,202.55,12.02
Sp-ka 20,604.03,22.41
Sp-ka 21,666.69,25.89
Sp-ka 22,211.21,13.94
Sp-ka 23,1978.18,68.52
Sp-ka 24,223.80,13.17
Sp-ka 25,2213.40,65.94
